season,kenpom_team_name,seed_number,region
2026,Duke,1,East
2026,Connecticut,2,East
2026,Michigan St.,3,East
2026,Kansas,4,East
2026,St. John's,5,East
2026,Louisville,6,East
2026,UCLA,7,East
2026,Ohio St.,8,East
2026,TCU,9,East
2026,UCF,10,East
2026,South Florida,11,East
2026,Northern Iowa,12,East
2026,Cal Baptist,13,East
2026,North Dakota St.,14,East
2026,Furman,15,East
2026,Siena,16,East
2026,Arizona,1,West
2026,Purdue,2,West
2026,Gonzaga,3,West
2026,Arkansas,4,West
2026,Wisconsin,5,West
2026,BYU,6,West
2026,Miami FL,7,West
2026,Villanova,8,West
2026,Utah St.,9,West
2026,Missouri,10,West
2026,Texas,11,West
2026,High Point,12,West
2026,Hawaii,13,West
2026,Kennesaw St.,14,West
2026,Queens,15,West
2026,LIU,16,West
2026,Michigan,1,Midwest
2026,Iowa St.,2,Midwest
2026,Virginia,3,Midwest
2026,Alabama,4,Midwest
2026,Texas Tech,5,Midwest
2026,Tennessee,6,Midwest
2026,Kentucky,7,Midwest
2026,Georgia,8,Midwest
2026,Saint Louis,9,Midwest
2026,Santa Clara,10,Midwest
2026,Miami OH,11,Midwest
2026,Akron,12,Midwest
2026,Hofstra,13,Midwest
2026,Wright St.,14,Midwest
2026,Tennessee St.,15,Midwest
2026,Howard,16,Midwest
2026,Florida,1,South
2026,Houston,2,South
2026,Illinois,3,South
2026,Nebraska,4,South
2026,Vanderbilt,5,South
2026,North Carolina,6,South
2026,Saint Mary's,7,South
2026,Clemson,8,South
2026,Iowa,9,South
2026,Texas A&M,10,South
2026,VCU,11,South
2026,McNeese,12,South
2026,Troy,13,South
2026,Penn,14,South
2026,Idaho,15,South
2026,Prairie View A&M,16,South
