kaggle_team_id,kaggle_team_name,kenpom_team_name,barttorvik_team_name,canonical_name
1104,Alabama,Alabama,Alabama,Alabama
1112,Arizona,Arizona,Arizona,Arizona
1113,Arizona St,Arizona St.,Arizona St.,Arizona St
1120,Auburn,Auburn,Auburn,Auburn
1124,Baylor,Baylor,Baylor,Baylor
1139,Central Michigan,Central Michigan,Central Michigan,Central Michigan
1140,Charleston Southern,Charleston Southern,Charleston Southern,Charleston Southern
1143,Cincinnati,Cincinnati,Cincinnati,Cincinnati
1147,Clemson,Clemson,Clemson,Clemson
1153,Connecticut,UConn,Connecticut,Connecticut
1155,Coppin St,Coppin St.,Coppin St.,Coppin St
1158,Creighton,Creighton,Creighton,Creighton
1163,Davidson,Davidson,Davidson,Davidson
1166,Dayton,Dayton,Dayton,Dayton
1172,Drake,Drake,Drake,Drake
1173,Drexel,Drexel,Drexel,Drexel
1181,Duke,Duke,Duke,Duke
1195,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson
1196,FL Atlantic,Florida Atlantic,Florida Atlantic,Florida Atlantic
1199,Florida,Florida,Florida,Florida
1203,Fresno St,Fresno St.,Fresno St.,Fresno St
1207,George Mason,George Mason,George Mason,George Mason
1210,George Washington,George Washington,George Washington,George Washington
1211,Georgetown,Georgetown,Georgetown,Georgetown
1212,Georgia,Georgia,Georgia,Georgia
1214,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech
1218,Gonzaga,Gonzaga,Gonzaga,Gonzaga
1222,Grand Canyon,Grand Canyon,Grand Canyon,Grand Canyon
1228,Hampton,Hampton,Hampton,Hampton
1234,Hawaii,Hawaii,Hawaii,Hawaii
1242,Holy Cross,Holy Cross,Holy Cross,Holy Cross
1243,Houston,Houston,Houston,Houston
1245,Howard,Howard,Howard,Howard
1246,Idaho,Idaho,Idaho,Idaho
1251,Illinois,Illinois,Illinois,Illinois
1252,Illinois St,Illinois St.,Illinois St.,Illinois St
1254,Indiana,Indiana,Indiana,Indiana
1256,Iona,Iona,Iona,Iona
1257,Iowa,Iowa,Iowa,Iowa
1258,Iowa St,Iowa St.,Iowa St.,Iowa St
1260,Jackson St,Jackson St.,Jackson St.,Jackson St
1261,James Madison,James Madison,James Madison,James Madison
1266,Kansas,Kansas,Kansas,Kansas
1267,Kansas St,Kansas St.,Kansas St.,Kansas St
1268,Kennesaw St,Kennesaw St.,Kennesaw St.,Kennesaw St
1269,Kent St,Kent St.,Kent St.,Kent St
1272,Kentucky,Kentucky,Kentucky,Kentucky
1276,La Salle,La Salle,La Salle,La Salle
